종목명,종목코드
한국토지신탁,034830
한국특수형강,007280
한국패러랠,168490
한국팩키지,037230
한국프랜지,010100
한국항공우주,047810
한국화장품,123690
한국화장품제조,003350
한글과컴퓨터,030520
한네트,052600
한농화성,011500
한독,002390
한라,014790
한라IMS,092460
한라홀딩스,060980
한미글로벌,053690
한미반도체,042700
한미사이언스,008930
한미약품,128940
한빛소프트,047080
한샘,009240
한섬,020000
한성기업,003680
한세실업,105630
한세엠케이,069640
한세예스24홀딩스,016450
한솔PNS,010420
한솔로지스틱스,009180
한솔시큐어,070300
한솔씨앤피,221610
한솔인티큐브,070590
한솔제지,213500
한솔케미칼,014680
한솔테크닉스,004710
한솔홀딩스,004150
한솔홈데코,025750
한송네오텍,226440
한스바이오메드,042520
한신공영,004960
한신기계,011700
한양디지텍,078350
한양이엔지,045100
한양증권,001750
한양증권우,001755
한온시스템,018880
한올바이오파마,009420
한익스프레스,014130
한일네트웍스,046110
한일단조,024740
한일사료,005860
한일시멘트,300720
한일진공,123840
한일철강,002220
한일현대시멘트,006390
한일홀딩스,003300
한일화학,007770
한전KPS,051600
한전기술,052690
한전산업,130660
한중엔시에스,107640
한진,002320
한진중공업,097230
한진중공업홀딩스,003480
한진칼,180640
한진칼우,18064K
한창,005110
한창산업,079170
한창제지,009460
한컴MDS,086960
한컴시큐어,054920
한컴유니맥스,215090
한컴지엠디,077280
한탑,002680
한프,066110
한화,000880
한화3우B,00088K
한화갤러리아타임월드,027390
한화생명,088350
한화손해보험,000370
한화수성스팩,265920
한화에어로스페이스,012450
한화에이스스팩3호,264290
한화에이스스팩4호,279410
한화우,000885
한화케미칼,009830
한화케미칼우,009835
한화투자증권,003530
한화투자증권우,003535
해덕파워웨이,102210
해마로푸드서비스,220630
해성디에스,195870
해성산업,034810
해성옵틱스,076610
해태제과식품,101530
핸디소프트,220180
핸즈코퍼레이션,143210
행남사,008800
헝셩그룹,900270
현대건설,000720
현대건설기계,267270
현대건설우,000725
현대공업,170030
현대그린푸드,005440
현대글로비스,086280
현대로템,064350
현대리바트,079430
현대모비스,012330
현대미포조선,010620
현대바이오,048410
현대백화점,069960
현대비앤지스틸,004560
현대비앤지스틸우,004565
현대사료,016790
현대상사,011760
현대상선,011200
현대약품,004310
현대에이치씨엔,126560
현대엘리베이,017800
현대위아,011210
현대일렉트릭,267260
현대정보기술,026180
현대제철,004020
현대중공업,009540
현대중공업지주,267250
현대차,005380
현대차2우B,005387
현대차3우B,005389
현대차우,005385
현대차증권,001500
현대코퍼레이션홀딩스,227840
현대통신,039010
현대해상,001450
현대홈쇼핑,057050
현성바이탈,204990
현우산업,092300
현진소재,053660
형지I&C,011080
형지엘리트,093240
혜인,003010
호전실업,111110
호텔신라,008770
호텔신라우,008775
홈센타홀딩스,060560
홈캐스트,064240
화성밸브,039610
화성산업,002460
화승알앤에이,013520
화승엔터프라이즈,241590
화승인더,006060
화신,010690
화신정공,126640
화신테크,086250
화이브라더스코리아,204630
화인베스틸,133820
화일약품,061250
화진,134780
화천기계,010660
화천기공,000850
환인제약,016580
황금에스티,032560
효성,004800
효성ITX,094280
효성오앤비,097870
효성중공업,298040
효성첨단소재,298050
효성티앤씨,298020
효성화학,298000
후성,093370
휘닉스소재,050090
휠라코리아,081660
휴네시온,290270
신세계푸드,031440
